Brand,Year,Month,Grouping4,Grouping1,Grouping0,Giver,Receiver,Adjusted_Volume,Margin Revenue
BRAND1,2022,1,BASE,BASE,BASE,BRAND1,BRAND1,646119.1908,92868415.46
BRAND1,2022,1,CAMPAIGN1,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN1,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN10,DIGITAL,HALO,BRAND2,BRAND1,4.411350596,634.4343958
BRAND1,2022,1,CAMPAIGN10,DIGITAL,HALO,BRAND3,BRAND1,35.76211383,5143.25819
BRAND1,2022,1,CAMPAIGN10,DIGITAL,HALO,BRAND6,BRAND1,458.308658,65913.32296
BRAND1,2022,1,CAMPAIGN10,DIGITAL,HALO,BRAND8,BRAND1,106.1277115,15263.14199
BRAND1,2022,1,CAMPAIGN10,DIGITAL,HALO,BRAND9,BRAND1,274.6184939,39495.25535
BRAND1,2022,1,CAMPAIGN10,DIGITAL,TARGET,BRAND1,BRAND1,1.540228553,221.5135592
BRAND1,2022,1,CAMPAIGN11,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN12,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN13,DIGITAL,HALO,BRAND3,BRAND1,555.2614859,79856.94576
BRAND1,2022,1,CAMPAIGN138,TV,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN139,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN14,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN15,DIGITAL,HALO,BRAND8,BRAND1,434.5293281,62493.41233
BRAND1,2022,1,CAMPAIGN16,DIGITAL,HALO,BRAND9,BRAND1,309.9896079,44582.28049
BRAND1,2022,1,CAMPAIGN17,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN17,DIGITAL,HALO,BRAND6,BRAND1,137.1952212,19731.22865
BRAND1,2022,1,CAMPAIGN18,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN19,DIGITAL,HALO,BRAND6,BRAND1,187.083368,26906.07354
BRAND1,2022,1,CAMPAIGN2,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN2,TV,HALO,BRAND2,BRAND1,208.5437377,29992.47449
BRAND1,2022,1,CAMPAIGN20,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN23,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN24,DIGITAL,HALO,BRAND3,BRAND1,678.7037819,97610.24757
BRAND1,2022,1,CAMPAIGN25,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN26,DIGITAL,HALO,BRAND3,BRAND1,179.4304277,25805.43816
BRAND1,2022,1,CAMPAIGN27,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN28,DIGITAL,HALO,BRAND10,BRAND1,86.15677946,12390.94992
BRAND1,2022,1,CAMPAIGN29,DIGITAL,HALO,BRAND10,BRAND1,2504.660537,360216.8451
BRAND1,2022,1,CAMPAIGN3,DIGITAL,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN3,TV,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN30,DIGITAL,HALO,BRAND2,BRAND1,165.5261589,23805.74528
BRAND1,2022,1,CAMPAIGN31,DIGITAL,HALO,BRAND3,BRAND1,420.9947763,60546.89165
BRAND1,2022,1,CAMPAIGN32,DIGITAL,HALO,BRAND3,BRAND1,540.1699968,77686.50849
BRAND1,2022,1,CAMPAIGN33,DIGITAL,HALO,BRAND6,BRAND1,7777.145727,1118498.438
BRAND1,2022,1,CAMPAIGN33,TV,HALO,BRAND6,BRAND1,2772.548654,398744.1469
BRAND1,2022,1,CAMPAIGN34,DIGITAL,HALO,BRAND3,BRAND1,990.0934875,142393.8882
BRAND1,2022,1,CAMPAIGN35,DIGITAL,HALO,BRAND10,BRAND1,1186.287206,170610.1998
BRAND1,2022,1,CAMPAIGN36,DIGITAL,HALO,BRAND10,BRAND1,168.6144214,24249.89496
BRAND1,2022,1,CAMPAIGN36,TV,HALO,BRAND10,BRAND1,14017.16651,2015929.673
BRAND1,2022,1,CAMPAIGN37,DIGITAL,HALO,BRAND6,BRAND1,373.8776407,53770.56979
BRAND1,2022,1,CAMPAIGN38,DIGITAL,HALO,BRAND10,BRAND1,43.85574035,6307.272462
BRAND1,2022,1,CAMPAIGN7,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN7,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN7,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,1,CAMPAIGN8,DIGITAL,HALO,BRAND6,BRAND1,193.101951,27771.65789
BRAND1,2022,1,CAMPAIGN80,DIGITAL,HALO,BRAND3,BRAND1,0.102597571,14.75544204
BRAND1,2022,1,CAMPAIGN9,DIGITAL,HALO,BRAND7,BRAND1,0,0
BRAND1,2022,1,PROMO,COLGATEOTHERPACK,PROMO,BRAND1,BRAND1,12009.80972,1727234.371
BRAND1,2022,1,PROMO,COLGATESACHET,PROMO,BRAND1,BRAND1,1352.684738,194541.2648
BRAND1,2022,1,PROMO,DISCOUNT,PROMO,BRAND1,BRAND1,2682.584759,385805.6629
BRAND1,2022,1,TRADE,LOCALTHEMATIC,TRADE,BRAND1,BRAND1,18192.54663,2616427.118
BRAND1,2022,1,TRADE,MINMAXDISPLAY,TRADE,BRAND1,BRAND1,23610.53919,3395635.382
BRAND1,2022,1,TRADE,NPILISTING,TRADE,BRAND1,BRAND1,0,0
BRAND1,2022,2,BASE,BASE,BASE,BRAND1,BRAND1,724355.4437,101321175.3
BRAND1,2022,2,CAMPAIGN1,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN1,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN10,DIGITAL,HALO,BRAND2,BRAND1,1.418037521,198.50101
BRAND1,2022,2,CAMPAIGN10,DIGITAL,HALO,BRAND3,BRAND1,10.73324287,1502.470505
BRAND1,2022,2,CAMPAIGN10,DIGITAL,HALO,BRAND6,BRAND1,571.6738808,80024.56991
BRAND1,2022,2,CAMPAIGN10,DIGITAL,HALO,BRAND8,BRAND1,12.99223197,1818.69036
BRAND1,2022,2,CAMPAIGN10,DIGITAL,HALO,BRAND9,BRAND1,48.09795245,6732.891056
BRAND1,2022,2,CAMPAIGN10,DIGITAL,TARGET,BRAND1,BRAND1,2.72147774,380.9603569
