TIMEDESC,BRAND,SUBBRAND,CHANNEL,GEOGDESC,Year,Month,MonthWord,VOLUME,VALUE,TARGET PRICE,ND,WD,BASEPRICES,TARGET DISCOUNT
1/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,1,Jan,13580.48,6675700,491.5658357,30.6844088,33.01429699,491.5658357,0
2/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,2,Feb,13422.12,6171100,459.7708857,28.89767041,30.89787604,459.7708857,0
3/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,3,Mar,17890.24,7351800,410.9391489,23.41108895,26.13503229,491.5658357,16.4
4/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,4,Apr,12193.72,5466500,448.3045371,24.77882057,27.60691569,459.7708857,2.5
5/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,5,May,11671.28,5532100,473.9925698,27.82111302,30.03980712,473.9925698,0
6/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,6,Jun,11526.24,5565400,482.8460973,27.45353211,29.97542998,482.8460973,0
7/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,7,Jul,12686.56,6153500,485.0408621,27.86578868,30.55950549,485.0408621,0
8/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,8,Aug,11082.24,5268300,475.3822332,28.57905983,31.15137373,485.0408621,2
9/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,9,Sep,11071.88,5142900,464.5010603,28.2876982,30.81581448,485.0408621,4.2
10/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,10,Oct,11076.32,5105900,460.9744031,28.24268349,30.83343565,475.3822332,3
11/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,11,Nov,16937.12,7696200,454.3983865,27.99566869,30.89238312,464.5010603,2.2
12/1/2020 0:00,Brand_1,Sub_brand_1,CONVENIENCE,NATIONAL,2020,12,Dec,22975.52,7701500,335.2046004,34.93879573,36.96390767,460.9744031,27.3
